Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,2,AutoPSK | Set default path variables (Linux),Idempotency,None
"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,15,AutoPSK | read existing TLS PSK file (Linux),Broken Dependency Chain,None
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,17,AutoPSK | Read existing TLS PSK identity file (Linux),Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,17,AutoPSK | Read existing TLS PSK identity file (Linux),Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,17,AutoPSK | Read existing TLS PSK identity file (Linux),Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,17,AutoPSK | Read existing TLS PSK identity file (Linux),Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,17,AutoPSK | Read existing TLS PSK identity file (Linux),Hardware Specific Commands,"
























































































































































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,17,AutoPSK | Read existing TLS PSK identity file (Linux),Assumption about Environment,"None 












"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,17,AutoPSK | Read existing TLS PSK identity file (Linux),Broken Dependency Chain,"Task uses a fixed ID which can become outdated or incorrect across platforms.
Task uses a fixed ID which can become outdated or incorrect across platforms.
Task uses a fixed ID which can become outdated or incorrect across platforms.
None"
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,23,Task 6,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,23,Task 6,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,23,Task 6,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,23,Task 6,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,23,Task 6,Hardware Specific Commands,"




















































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,23,Task 6,Assumption about Environment,"None 
"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,23,Task 6,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,25,AutoPSK | Template TLS PSK identity in file (Linux),Idempotency,Task changes the state of the file without checking.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,25,AutoPSK | Template TLS PSK identity in file (Linux),Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,25,AutoPSK | Template TLS PSK identity in file (Linux),Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,25,AutoPSK | Template TLS PSK identity in file (Linux),Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,25,AutoPSK | Template TLS PSK identity in file (Linux),Hardware Specific Commands,"


































































































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,25,AutoPSK | Template TLS PSK identity in file (Linux),Assumption about Environment,"None 










"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,25,AutoPSK | Template TLS PSK identity in file (Linux),Broken Dependency Chain,"Task uses a fixed ID which can become outdated or incorrect across platforms.
None"
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,31,AutoPSK | Template TLS PSK secret in file (Linux),Idempotency,Task changes the state of the file without checking.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,31,AutoPSK | Template TLS PSK secret in file (Linux),Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,31,AutoPSK | Template TLS PSK secret in file (Linux),Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,31,AutoPSK | Template TLS PSK secret in file (Linux),Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,31,AutoPSK | Template TLS PSK secret in file (Linux),Hardware Specific Commands,"


































































































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,31,AutoPSK | Template TLS PSK secret in file (Linux),Assumption about Environment,"None 










"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.zabbix,tlspsk_auto_linux.yml,31,AutoPSK | Template TLS PSK secret in file (Linux),Broken Dependency Chain,Error
