Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-supervisor,service-initd.yml,3,configure | initd | update script,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-supervisor,service-initd.yml,3,configure | initd | update script,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-supervisor,service-initd.yml,3,configure | initd | update script,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-supervisor,service-initd.yml,3,configure | initd | update script,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-supervisor,service-initd.yml,3,configure | initd | update script,Hardware Specific Commands,"






















































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-supervisor,service-initd.yml,3,configure | initd | update script,Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-supervisor,service-initd.yml,3,configure | initd | update script,Broken Dependency Chain,Task did not check the correctness of execution.
